id,genre,genre_id
tm357820,thriller,7
ts83455,drama,3
tm355724,romance,1
tm355724,comedy,4
tm355724,family,10
tm439678,romance,1
tm439678,drama,3
tm439678,music,5
tm439678,comedy,4
tm359714,romance,1
tm359714,comedy,4
tm359714,drama,3
tm424888,documentation,14
tm424888,crime,2
tm424888,thriller,7
tm430281,drama,3
tm430281,family,10
tm433228,thriller,7
tm433228,drama,3
tm433228,history,9
tm433228,romance,1
tm428483,romance,1
ts79585,family,10
ts79585,animation,16
ts79585,action,6
ts79585,comedy,4
ts76478,comedy,4
ts76478,drama,3
tm416341,drama,3
tm416341,action,6
ts116101,reality,19
ts88234,comedy,4
tm351201,comedy,4
ts84243,drama,3
tm425698,thriller,7
tm358370,romance,1
tm358370,comedy,4
tm358370,drama,3
tm403709,drama,3
tm403709,romance,1
tm403709,comedy,4
tm835414,drama,3
tm835414,animation,16
tm375091,comedy,4
tm375091,documentation,14
ts83763,crime,2
ts83763,thriller,7
ts81886,comedy,4
ts81886,music,5
ts90594,comedy,4
ts90594,family,10
ts90594,animation,16
tm370781,comedy,4
ts86994,crime,2
ts86994,documentation,14
ts80617,action,6
ts80617,scifi,17
ts80617,fantasy,11
ts80617,drama,3
ts82851,drama,3
ts82851,thriller,7
tm365670,documentation,14
tm358242,comedy,4
tm358242,documentation,14
tm370232,drama,3
tm430057,documentation,14
tm430057,european,13
tm368697,romance,1
tm368697,comedy,4
tm363003,documentation,14
tm363488,documentation,14
tm360945,drama,3
tm360945,sport,18
ts78053,drama,3
ts78053,thriller,7
ts81485,family,10
ts80445,comedy,4
ts81483,animation,16
ts81483,comedy,4
ts81483,family,10
ts77520,action,6
ts77520,scifi,17
ts77520,thriller,7
tm431081,drama,3
tm431081,comedy,4
tm361161,fantasy,11
tm361161,comedy,4
tm361161,family,10
tm361161,scifi,17
tm361161,animation,16
tm919869,crime,2
tm919869,romance,1
tm919869,drama,3
ts90019,comedy,4
ts90019,drama,3
tm426202,comedy,4
tm848995,music,5
tm848995,family,10
tm848995,fantasy,11
ts85659,comedy,4
ts85659,scifi,17
ts85659,action,6
ts85659,animation,16
ts85659,family,10
ts85659,fantasy,11
tm363088,comedy,4
ts80671,documentation,14
tm1046932,action,6
tm1046932,crime,2
tm1046932,drama,3
tm1046932,thriller,7
tm1018427,comedy,4
tm1018427,drama,3
tm1018427,music,5
tm452867,drama,3
tm452867,thriller,7
tm452867,action,6
tm452867,crime,2
tm358813,comedy,4
tm478967,drama,3
tm478967,thriller,7
ts79234,action,6
ts79234,comedy,4
ts79234,animation,16
ts79234,family,10
ts79234,fantasy,11
ts82372,animation,16
ts82372,comedy,4
ts82372,family,10
ts82372,action,6
ts81331,scifi,17
ts81331,action,6
ts81331,family,10
ts81331,animation,16
ts81331,fantasy,11
ts81331,comedy,4
ts81331,drama,3
tm510525,comedy,4
ts77955,documentation,14
tm369079,comedy,4
tm364206,documentation,14
tm434008,comedy,4
ts82160,action,6
ts82160,family,10
ts82160,animation,16
ts82160,comedy,4
tm368310,drama,3
tm363922,drama,3
ts77799,documentation,14
ts82915,drama,3
ts82915,comedy,4
ts84200,comedy,4
ts84200,family,10
ts79229,crime,2
ts79229,documentation,14
tm435916,thriller,7
tm435916,drama,3
tm435916,horror,15
tm435916,music,5
ts87248,comedy,4
ts87248,drama,3
ts87248,crime,2
ts87248,horror,15
ts87248,action,6
ts77467,reality,19
ts77467,drama,3
tm372486,drama,3
tm372486,comedy,4
tm372486,european,13
tm450375,drama,3
tm450375,history,9
tm450375,action,6
ts77545,war,8
ts77545,crime,2
ts77545,documentation,14
ts77545,thriller,7
ts77545,comedy,4
ts77545,drama,3
ts82739,crime,2
ts82739,drama,3
tm244310,drama,3
tm369433,drama,3
tm369433,romance,1
tm369433,thriller,7
tm369433,fantasy,11
tm369433,horror,15
tm369433,scifi,17
tm478962,thriller,7
tm478962,crime,2
tm478962,drama,3
ts57196,documentation,14
ts57196,european,13
tm321149,animation,16
tm321149,family,10
tm859143,drama,3
tm859143,thriller,7
tm859143,action,6
tm859143,sport,18
tm443034,thriller,7
tm443034,drama,3
tm443034,action,6
tm443034,crime,2
tm443034,european,13
ts77518,comedy,4
ts77518,animation,16
ts77518,romance,1
ts77787,comedy,4
ts77787,animation,16
ts79926,comedy,4
tm478701,drama,3
tm478701,music,5
tm478701,romance,1
tm442354,drama,3
ts95997,scifi,17
ts95997,drama,3
ts77824,None,20
tm375912,comedy,4
tm823355,thriller,7
tm823355,action,6
tm823355,crime,2
tm405738,crime,2
tm405738,drama,3
tm405738,thriller,7
tm371882,fantasy,11
tm362878,romance,1
tm362878,drama,3
tm911973,crime,2
tm911973,drama,3
tm911973,action,6
tm372969,romance,1
tm372969,comedy,4
tm336084,thriller,7
tm336084,crime,2
tm336084,drama,3
tm368441,thriller,7
tm368441,drama,3
tm405637,horror,15
tm405637,thriller,7
tm351505,documentation,14
tm366383,comedy,4
ts54028,crime,2
ts54028,drama,3
ts54028,thriller,7
ts78382,comedy,4
ts78382,drama,3
ts95855,drama,3
ts85660,comedy,4
tm446480,drama,3
tm446480,family,10
ts77957,crime,2
ts77957,documentation,14
ts78353,crime,2
ts78353,romance,1
ts78353,thriller,7
ts78353,drama,3
ts78206,drama,3
ts78206,comedy,4
ts78206,reality,19
ts81856,comedy,4
ts78707,comedy,4
tm405901,horror,15
tm405901,thriller,7
tm405901,drama,3
ts77783,scifi,17
ts77783,action,6
ts77783,fantasy,11
ts77783,war,8
ts77783,animation,16
ts58367,drama,3
ts58367,thriller,7
ts58367,crime,2
ts58367,european,13
tm368006,comedy,4
tm478654,documentation,14
tm430426,thriller,7
tm430426,action,6
tm430426,crime,2
ts79045,documentation,14
ts78099,documentation,14
ts221904,drama,3
ts221904,crime,2
tm433381,thriller,7
tm433381,drama,3
tm433381,documentation,14
tm433381,fantasy,11
tm433381,music,5
tm433381,romance,1
tm433381,european,13
tm372035,drama,3
tm372035,european,13
ts78298,drama,3
ts78298,family,10
ts79679,drama,3
ts79679,crime,2
tm370472,comedy,4
tm370472,documentation,14
tm370628,music,5
tm370628,comedy,4
tm375302,reality,19
tm375302,documentation,14
ts78767,scifi,17
ts78767,sport,18
ts78767,documentation,14
ts78767,reality,19
ts78444,animation,16
ts76646,action,6
ts76646,comedy,4
tm374395,thriller,7
tm374395,action,6
tm374395,crime,2
tm374395,drama,3
ts78145,documentation,14
ts75887,documentation,14
ts75887,european,13
tm1127695,thriller,7
tm1127695,war,8
tm1127695,action,6
tm1127695,drama,3
tm1127695,history,9
tm1127695,european,13
tm369594,thriller,7
tm369594,fantasy,11
tm369594,drama,3
tm371741,romance,1
tm371741,comedy,4
ts77770,action,6
ts77770,fantasy,11
ts77770,animation,16
ts114080,scifi,17
ts114080,thriller,7
ts114080,drama,3
ts114080,romance,1
ts114080,comedy,4
ts79157,scifi,17
ts79157,action,6
ts79157,drama,3
ts79157,thriller,7
ts79157,horror,15
ts79157,animation,16
ts79157,fantasy,11
ts79157,crime,2
tm370440,western,12
tm370440,fantasy,11
tm370440,music,5
ts85968,drama,3
ts85968,music,5
ts81646,drama,3
ts81646,thriller,7
ts81646,fantasy,11
ts81646,horror,15
ts113506,documentation,14
ts113506,drama,3
ts113506,history,9
ts113506,romance,1
ts113506,war,8
ts79707,drama,3
ts83457,animation,16
ts83457,family,10
ts79546,action,6
ts79546,animation,16
ts79546,drama,3
ts79546,scifi,17
ts79546,sport,18
tm357708,comedy,4
tm357708,fantasy,11
ts95569,family,10
ts95569,fantasy,11
ts95569,animation,16
tm373873,documentation,14
tm855600,comedy,4
tm855600,drama,3
