id,type,type_id
tm191374,MOVIE,1
tm191614,MOVIE,1
tm191772,MOVIE,1
tm192199,MOVIE,1
tm192037,MOVIE,1
tm55553,MOVIE,1
tm48430,MOVIE,1
tm46173,MOVIE,1
tm57554,MOVIE,1
tm65686,MOVIE,1
tm173551,MOVIE,1
tm128925,MOVIE,1
tm56574,MOVIE,1
tm55732,MOVIE,1
tm110225,MOVIE,1
tm189773,MOVIE,1
tm110160,MOVIE,1
tm9898,MOVIE,1
tm61103,MOVIE,1
ts8570,SHOW,2
tm53419,MOVIE,1
tm47530,MOVIE,1
tm188970,MOVIE,1
tm358653,MOVIE,1
tm52083,MOVIE,1
tm56033,MOVIE,1
tm125985,MOVIE,1
tm49037,MOVIE,1
tm21596,MOVIE,1
tm17721,MOVIE,1
tm55100,MOVIE,1
tm58893,MOVIE,1
ts21223,SHOW,2
tm43399,MOVIE,1
tm200475,MOVIE,1
tm190835,MOVIE,1
tm449775,MOVIE,1
tm259855,MOVIE,1
tm259684,MOVIE,1
tm105716,MOVIE,1
tm44402,MOVIE,1
tm67635,MOVIE,1
ts22039,SHOW,2
tm63514,MOVIE,1
ts5145,SHOW,2
tm348735,MOVIE,1
tm47523,MOVIE,1
tm137143,MOVIE,1
tm14491,MOVIE,1
tm19673,MOVIE,1
tm119111,MOVIE,1
tm89386,MOVIE,1
tm19494,MOVIE,1
tm340430,MOVIE,1
tm54903,MOVIE,1
tm34310,MOVIE,1
ts58175,SHOW,2
tm44776,MOVIE,1
ts20918,SHOW,2
ts45948,SHOW,2
tm62176,MOVIE,1
tm52815,MOVIE,1
tm52871,MOVIE,1
ts34435,SHOW,2
ts22080,SHOW,2
tm133914,MOVIE,1
tm24877,MOVIE,1
tm62385,MOVIE,1
tm48083,MOVIE,1
ts18010,SHOW,2
tm35463,MOVIE,1
tm41525,MOVIE,1
ts22286,SHOW,2
tm27601,MOVIE,1
ts11397,SHOW,2
tm336403,MOVIE,1
tm42397,MOVIE,1
ts19036,SHOW,2
tm344089,MOVIE,1
ts21567,SHOW,2
ts20981,SHOW,2
tm371359,MOVIE,1
tm311264,MOVIE,1
tm203186,MOVIE,1
tm114476,MOVIE,1
tm46436,MOVIE,1
ts21581,SHOW,2
tm25389,MOVIE,1
tm36475,MOVIE,1
tm21911,MOVIE,1
tm118637,MOVIE,1
tm44486,MOVIE,1
tm111600,MOVIE,1
tm105329,MOVIE,1
tm152839,MOVIE,1
ts85138,SHOW,2
tm334788,MOVIE,1
tm57190,MOVIE,1
tm356209,MOVIE,1
tm51493,MOVIE,1
ts20398,SHOW,2
tm110923,MOVIE,1
tm55303,MOVIE,1
tm58382,MOVIE,1
ts24028,SHOW,2
tm192301,MOVIE,1
ts67595,SHOW,2
ts21664,SHOW,2
tm145593,MOVIE,1
tm326102,MOVIE,1
tm57169,MOVIE,1
ts28516,SHOW,2
ts21034,SHOW,2
ts22267,SHOW,2
tm61056,MOVIE,1
ts31263,SHOW,2
tm7951,MOVIE,1
tm42831,MOVIE,1
tm109304,MOVIE,1
tm342996,MOVIE,1
tm44634,MOVIE,1
tm21953,MOVIE,1
tm148379,MOVIE,1
tm112235,MOVIE,1
tm133767,MOVIE,1
tm137342,MOVIE,1
tm66466,MOVIE,1
tm102287,MOVIE,1
tm111226,MOVIE,1
tm139658,MOVIE,1
tm114504,MOVIE,1
ts20358,SHOW,2
tm49405,MOVIE,1
tm116324,MOVIE,1
tm96595,MOVIE,1
tm137362,MOVIE,1
tm142086,MOVIE,1
tm112381,MOVIE,1
tm150214,MOVIE,1
ts2760,SHOW,2
tm81461,MOVIE,1
ts75002,SHOW,2
tm81270,MOVIE,1
tm148270,MOVIE,1
tm230524,MOVIE,1
ts56549,SHOW,2
tm136808,MOVIE,1
tm136308,MOVIE,1
ts57705,SHOW,2
tm141707,MOVIE,1
tm141117,MOVIE,1
tm144345,MOVIE,1
tm88366,MOVIE,1
tm254052,MOVIE,1
ts17942,SHOW,2
ts204466,SHOW,2
tm88382,MOVIE,1
tm411457,MOVIE,1
tm89592,MOVIE,1
tm24088,MOVIE,1
tm134140,MOVIE,1
tm89684,MOVIE,1
tm82985,MOVIE,1
ts22337,SHOW,2
tm429382,MOVIE,1
tm148671,MOVIE,1
tm37546,MOVIE,1
tm89036,MOVIE,1
tm105278,MOVIE,1
tm82765,MOVIE,1
ts17156,SHOW,2
ts32186,SHOW,2
tm129763,MOVIE,1
tm160815,MOVIE,1
tm87672,MOVIE,1
tm177068,MOVIE,1
tm167516,MOVIE,1
tm130301,MOVIE,1
tm79895,MOVIE,1
tm88738,MOVIE,1
tm135795,MOVIE,1
tm419052,MOVIE,1
tm39030,MOVIE,1
tm93004,MOVIE,1
tm82718,MOVIE,1
tm27268,MOVIE,1
tm86995,MOVIE,1
ts20339,SHOW,2
ts26091,SHOW,2
ts687,SHOW,2
ts2230,SHOW,2
tm159310,MOVIE,1
tm39487,MOVIE,1
tm138902,MOVIE,1
tm176528,MOVIE,1
tm165593,MOVIE,1
tm86051,MOVIE,1
tm712151,MOVIE,1
tm160800,MOVIE,1
tm161263,MOVIE,1
tm89936,MOVIE,1
tm172683,MOVIE,1
tm85689,MOVIE,1
ts20305,SHOW,2
tm23935,MOVIE,1
ts21469,SHOW,2
tm21467,MOVIE,1
tm170169,MOVIE,1
tm31189,MOVIE,1
ts3371,SHOW,2
ts12701,SHOW,2
ts35201,SHOW,2
tm368679,MOVIE,1
tm22540,MOVIE,1
tm89012,MOVIE,1
tm26638,MOVIE,1
tm91125,MOVIE,1
tm96052,MOVIE,1
tm88343,MOVIE,1
tm169949,MOVIE,1
tm22636,MOVIE,1
tm84613,MOVIE,1
tm184913,MOVIE,1
tm153284,MOVIE,1
tm29555,MOVIE,1
tm154470,MOVIE,1
tm164557,MOVIE,1
tm85243,MOVIE,1
tm79442,MOVIE,1
tm23977,MOVIE,1
tm160596,MOVIE,1
tm278681,MOVIE,1
tm29269,MOVIE,1
tm23441,MOVIE,1
tm32919,MOVIE,1
tm164591,MOVIE,1
tm164389,MOVIE,1
ts6495,SHOW,2
tm86189,MOVIE,1
tm82442,MOVIE,1
tm169719,MOVIE,1
tm22342,MOVIE,1
tm176297,MOVIE,1
tm166293,MOVIE,1
ts63295,SHOW,2
ts21465,SHOW,2
tm32885,MOVIE,1
tm30170,MOVIE,1
tm29737,MOVIE,1
tm29731,MOVIE,1
tm78592,MOVIE,1
tm31187,MOVIE,1
tm252951,MOVIE,1
tm175687,MOVIE,1
tm36644,MOVIE,1
tm168921,MOVIE,1
tm39557,MOVIE,1
tm89764,MOVIE,1
tm120609,MOVIE,1
tm165809,MOVIE,1
tm80339,MOVIE,1
tm33729,MOVIE,1
tm77649,MOVIE,1
tm254745,MOVIE,1
tm40009,MOVIE,1
tm33981,MOVIE,1
tm70222,MOVIE,1
tm173624,MOVIE,1
tm168869,MOVIE,1
tm28905,MOVIE,1
tm41508,MOVIE,1
tm84906,MOVIE,1
ts20573,SHOW,2
ts21421,SHOW,2
tm183963,MOVIE,1
tm83175,MOVIE,1
tm311516,MOVIE,1
ts21706,SHOW,2
tm25842,MOVIE,1
tm170873,MOVIE,1
tm23077,MOVIE,1
ts12724,SHOW,2
tm226362,MOVIE,1
tm72587,MOVIE,1
tm64817,MOVIE,1
ts20604,SHOW,2
tm141390,MOVIE,1
tm76066,MOVIE,1
tm36188,MOVIE,1
tm78767,MOVIE,1
tm183547,MOVIE,1
tm68191,MOVIE,1
ts55720,SHOW,2
tm22294,MOVIE,1
tm346951,MOVIE,1
tm177687,MOVIE,1
ts29199,SHOW,2
tm78790,MOVIE,1
