id,title,release_year,age_certification,runtime,imdb_id,imdb_score,imdb_votes,is_best_movie_by_year,is_best_movie,is_best_show_by_year,is_best_show
tm122434,Forrest Gump,1994,PG-13,142,tt0109830,8.8,1994599,1,1,0,0
tm117873,Hum Aapke Hain Koun..!,1994,,206,tt0110076,7.5,20986,0,1,0,0
tm184502,Kabhi Haan Kabhi Naa,1994,G,158,tt0110222,7.6,18224,0,1,0,0
tm113576,Little Women,1994,PG,115,tt0110367,7.3,57621,0,1,0,0
tm117840,The Emigrant,1994,,129,tt0110545,6.5,998,0,0,0,0
tm117488,The Next Karate Kid,1994,PG,107,tt0110657,4.5,30138,0,0,0,0
tm118256,Yaar Gaddar,1994,,147,tt0111780,3.6,142,0,0,0,0
ts22489,Goosebumps,1995,TV-PG,22,tt0111987,7.6,13361,0,0,0,1
ts20983,Neon Genesis Evangelion,1995,TV-14,24,tt0112159,8.5,64727,0,0,1,1
tm12876,Bombay,1995,,141,tt0112553,8.1,12512,0,1,0,0
tm9323,Desperado,1995,R,104,tt0112851,7.1,183638,1,1,0,0
tm314602,Dushmani,1995,,156,tt0112916,5.0,248,0,0,0,0
tm10811,Heavy,1995,R,105,tt0113280,6.8,4921,0,0,0,0
tm10739,Johnny Mnemonic,1995,R,97,tt0113481,5.6,71062,0,0,0,0
tm12499,The Net,1995,PG-13,114,tt0113957,5.9,66127,0,0,0,0
tm8859,Oh Darling! Yeh Hai India!,1995,G,153,tt0114031,4.0,1678,0,0,0,0
tm11556,The Quick and the Dead,1995,R,107,tt0114214,6.5,92224,0,0,0,0
tm12482,Ram Jaane,1995,,172,tt0114231,5.4,3901,0,0,0,0
ts20939,Moesha,1996,TV-PG,21,tt0115275,5.7,3713,0,0,0,0
tm110766,Chronicle of a Disappearance,1996,,88,tt0115895,6.9,718,0,0,0,0
tm106462,Happy Gilmore,1996,PG-13,92,tt0116483,7.0,217534,1,1,0,0
tm107659,The Mirror Has Two Faces,1996,PG-13,126,tt0117057,6.6,19829,0,0,0,0
ts22176,Stargate SG-1,1997,TV-PG,44,tt0118480,8.4,90196,0,0,1,1
tm191387,Anaconda,1997,PG-13,89,tt0118615,4.8,103459,0,0,0,0
tm191848,The Devil's Advocate,1997,,144,tt0118971,7.5,361422,0,1,0,0
tm191989,Donnie Brasco,1997,R,127,tt0119008,7.7,300073,0,1,0,0
tm191431,Double Team,1997,R,93,tt0119013,4.7,34127,0,0,0,0
tm192405,Gattaca,1997,PG-13,106,tt0119177,7.8,298168,0,1,0,0
tm191374,I Know What You Did Last Summer,1997,R,101,tt0119345,5.7,142696,0,0,0,0
tm191614,Destiny,1997,,136,tt0119629,7.1,2825,0,0,0,0
tm191772,Seven Years in Tibet,1997,PG-13,136,tt0120102,7.1,141308,0,1,0,0
tm192199,Spawn,1997,PG-13,96,tt0120177,5.2,67761,0,0,0,0
tm192037,Starship Troopers,1997,R,129,tt0120201,7.3,288960,0,1,0,0
tm55553,Blade,1998,R,120,tt0120611,7.1,267181,0,1,0,0
tm48430,Godzilla,1998,PG-13,133,tt0120685,5.4,191722,0,0,0,0
tm46173,The Mask of Zorro,1998,PG-13,136,tt0120746,6.8,181306,0,0,0,0
tm57554,Saving Private Ryan,1998,R,169,tt0120815,8.6,1346020,1,1,0,0
tm65686,U.S. Marshals,1998,PG-13,126,tt0120873,6.5,103263,0,0,0,0
tm173551,Corpse Bride,2005,PG,77,tt0121164,7.3,265023,0,1,0,0
tm128925,Chamatkar,1992,G,171,tt0126234,6.5,6199,0,0,0,0
tm56574,You've Got Mail,1998,PG,119,tt0128853,6.7,209258,0,0,0,0
tm55732,I Still Know What You Did Last Summer,1998,R,100,tt0130018,4.7,73269,0,0,0,0
tm110225,English Babu Desi Mem,1996,PG,172,tt0136153,4.5,2322,0,0,0,0
tm189773,Maya Memsaab,1993,PG-13,126,tt0137100,5.4,2177,0,0,0,0
tm110160,Avvai Shanmugi,1996,PG-13,160,tt0139872,7.9,2528,0,0,0,0
tm9898,Muthu,1995,G,165,tt0140399,7.6,3056,0,0,0,0
tm61103,The General's Daughter,1999,R,116,tt0144214,6.4,58726,0,0,0,0
ts8570,Barney & Friends,1992,TV-G,28,tt0144701,3.8,9955,0,0,0,0
tm53419,Any Given Sunday,1999,R,162,tt0146838,6.9,118479,0,1,0,0
tm47530,Jeans,1998,,175,tt0151121,6.4,3567,0,0,0,0
tm188970,Bill Hicks: Revelations,1993,,74,tt0152183,8.5,3085,0,0,0,0
tm358653,Ujala,1959,,142,tt0157132,6.7,78,0,0,0,0
tm52083,West Beirut,1998,PG-13,105,tt0157183,7.6,4175,0,0,0,0
