person_id,name
226,Gert Jacoby
227,Alex Hamilton
228,Richard Evanson
229,Randal Kleiser
230,Warren Beatty
231,Faye Dunaway
232,Michael J. Pollard
233,Gene Hackman
234,Estelle Parsons
235,Denver Pyle
236,Dub Taylor
237,Evans Evans
238,Gene Wilder
239,Mabel Cavitt
240,Patrick Cranshaw
241,Owen Bush
242,Clyde Howdy
243,Russ Marker
244,Ann Palmer
245,Ken Mayer
246,Arthur Penn
247,Burt Lancaster
248,Lee Marvin
249,Robert Ryan
250,Woody Strode
251,Jack Palance
252,Claudia Cardinale
253,Ralph Bellamy
254,Joe De Santis
255,Rafael Bertrand
256,Jorge Martínez de Hoyos
257,Marie Gomez
258,José Chávez
259,Carlos Romero
260,Vaughn Taylor
261,Elizabeth Campbell
262,Don Carlos
263,Leigh Chapman
264,Roberto Contreras
265,Dirk Evans
266,Darwin Lamb
267,Eddie Little Sky
268,John Lopez
269,John McKee
270,Philip L. Parslow
271,Ron Veto
272,Richard Brooks
273,Gregory Peck
274,David Niven
275,Anthony Quinn
276,Stanley Baker
277,Anthony Quayle
278,James Darren
279,Irene Papas
280,Gia Scala
281,James Robertson Justice
282,Richard Harris
283,Bryan Forbes
284,Allan Cuthbertson
285,Michael Trubshawe
286,Percy Herbert
287,George Mikell
288,Walter Gotell
289,Tutte Lemkow
290,Albert Lieven
291,Norman Wooland
292,Kleo Skouloudi
293,Nicholas Papakonstantinou
294,Christopher Rhodes
295,William Hoehne Jr.
296,J. Lee Thompson
297,Yasuo Yamada
298,Eiko Masuyama
299,Kiyoshi Kobayashi
300,Gorō Naya
301,Sumi Shimamoto
302,Tarô Ishida
303,Akio Nojima
304,Eken Mine
305,Ichirō Nagai
306,Junkichi Yarita
307,Kinpei Azusa
308,Kōhei Miyauchi
309,Mikio Terashima
310,Minoru Midorikawa
311,Osamu Saka
312,Shigeharu Matsuda
313,Shozo Hirabayashi
314,Tadamichi Tsuneizumi
315,Yoko Yamaoka
316,Makio Inoue
317,Hayao Miyazaki
318,Richard Pryor
319,Jennifer Lee Pryor
320,Jeff Margolis
321,David Carradine
322,Keith Carradine
323,Robert Carradine
324,James Keach
325,Stacy Keach
326,Dennis Quaid
327,Randy Quaid
328,Kevin Brophy
329,"Harry Carey, Jr."
330,Christopher Guest
331,Nicholas Guest
332,Shelby Leverington
333,Felice Orlandi
334,Pamela Reed
335,James Remar
336,Fran Ryan
337,Savannah Smith Boucher
338,Amy Stryker
339,James Whitmore Jr.
340,John Bottoms
341,West Buchanan
342,Edward Bunker
343,Martina Deignan
344,Allan Graf
345,Chris Mulkey
346,Thomas Myers
347,Marlise Karlin
348,Glenn Robards
349,Tim Rossovich
350,Lin Shaye
351,Gary Watkins
352,Peter Jason
353,Duke Stroud
354,Steven Chambers
355,William Traylor
356,J. Don Ferguson
357,Hugh McGraw
358,Prentiss Rowe
359,Stuart Mossman
360,Michael Lackey
361,Mitch Greenhill
362,Bill Bryson
363,Tom Sauber
364,Jimmy Medearis
365,Edgar McLeod
366,Luis Contreras
367,Kalen Keach
368,R.B. Thrift
369,Ry Cooder
370,George D. Miklos
371,Bill Rampley
372,Walter Hill
373,Bing Crosby
374,Danny Kaye
375,Rosemary Clooney
376,Vera-Ellen
377,Dean Jagger
378,Mary Wickes
379,John Brascia
380,Anne Whitfield
381,Bea Allen
382,Glen Cargyle
383,George Chakiris
384,Barrie Chase
385,Lorinne Crawford
386,Franklyn Farnum
387,Bess Flowers
388,Gavin Gordon
389,Johnny Grant
390,Percy Helton
391,I. Stanford Jolley
392,Sig Ruman
393,Grady Sutton
394,Herb Vigran
395,Robert Crosson
396,Michael Curtiz
397,Farid Shawqi
398,Hind Rostom
399,Youssef Chahine
400,Hassan el Baroudi
401,Abdel Aziz Khalil
402,Said Khalil
403,Abdel Ghani Nagdi
404,Loutfi El Hakim
405,Abdel Hamid Bodaoha
406,F. El Demerdache
407,Said El Araby
408,Ahmed Abaza
409,Hana Abdel Fattah
410,Safia Sarwat
411,Asaad Kellada
412,Naima Wasfy
413,Sherine
414,Soheir
415,Esmat Mahmoud
416,Nawal Morsi
417,Gharib Moawad
418,Mohamed Mazhar
419,Galal Issa
420,Mahrous El Garhi
421,Ahmed El Tantawi
422,S. Abdel Aziz
423,Nadia Lotfi
424,Safia Tharwat
425,Jack Doroshow
426,Bernard Giquel
427,Mario Montez
428,Crystal LaBeija
429,Rachel Harlow
430,Andy Warhol
431,Edie Sedgwick
432,Jim Dine
433,Bruce Jay Friedman
434,Larry Rivers
435,Terry Southern
436,Jerry Leiber
437,Jackie Curtis
438,Pepper LaBeija
439,Dorian Corey
440,Jill Krementz
441,Mary Ellen Mark
442,George Plimpton
443,Frank Simon
444,Gert Westphal
445,Adolf Hitler
446,Joachim Fest
447,Jane Fonda
448,Donald Sutherland
449,Pamela Donegan
450,Len Chandler
451,Michael Alaimo
452,Holly Near
453,Paul Mooney
454,Rita Martinson
455,Steve Jaffe
456,Francine Parker
457,Ahmad Mazhar
458,Salah Zulfikar
459,Leila Fawzi
460,Hamdy Gheith
461,Laila Taher
462,Omar El-Hariri
463,Husain Reyadh
464,Mahmoud el-Meliguy
465,Zaki Toleimat
466,Tewfik El Dekn
467,Mohamed Hamdy
468,Mohamed Sultan
469,Mohamed Abdel Gawad
470,Sami Loutfi
471,Ibrahim Emara
472,Ahmed Louxor
473,Salah Nazmi
474,Shammi Kapoor
475,Padmini
476,Maria Menado
477,Shashikala
478,Agha
479,Shakti Samanta
480,Omar Sharif
481,Faten Hamamah
482,Ahmed Ramzy
483,Ferdoos Mohammed
484,Ezzat El Alaili
485,Youssef Wahby
486,Yehia Chahine
487,Akela Kateb
488,Zeinab Sedky
489,Ahmad Abdel Waress
490,Abdel Aziz Makhyoun
491,Ahmed Mehrez
492,Abdel Warith Assir
493,Aida Kamel
494,Oussaida Abbass
495,Zouzou Hamdy El-Hakim
496,Abdel Salam Mohamed
497,Halima El Soghayar
498,Samira Mohamed
499,Abou Hachich
500,Gamil El Traboulsi
501,Ahmad Zaki
502,Ahmad Bedir
503,Naglaa Fathy
504,Abdalla Mahmoud
505,Mohsena Tawfik
506,Seif Abdelrahman
507,Negma Ibrahim
508,Anwar Wagdi
509,Shukri Sarhan
510,Samira Ahmed
511,Berlanty Abdel Hamid
512,Motawea Oweis
513,Malak Elgamal
514,Saeed Khalil
515,Reyad El Kasabgy
516,Salah Abu Seif
517,Saeed Saleh
518,Younes Shalaby
519,Hassan Mostafa
520,Nadia Shukry
521,Karima Mokhtar
522,Gumball Williams
523,Samir Al Asfory
524,Vyjayanthimala
525,Sunil Dutt
526,Prem Nath
527,Bipin Gupta
528,Gajanan Jagirdar
529,K.N. Singh
530,Ruby Myers
531,Narendra Nath
532,Baburao Pendharkar
533,Mridula Rani
534,Lekh Tandon
535,Amitabh Bachchan
536,Shatrughan Sinha
537,Zeenat Aman
538,Prem Chopra
539,Amrish Puri
540,Helen
541,Pran
542,Sajjan
543,Iftekhar
