id,country,production_id
ts36983,US,2
tm880059,US,2
tm134052,IN,4
ts38764,FR,5
tm435086,CA,20
tm227044,IN,4
ts35563,US,2
tm233465,US,2
tm235405,CA,20
tm150962,IN,4
ts35570,GB,3
ts36147,US,2
ts38511,US,2
tm244364,AU,19
tm193378,US,2
tm155507,US,2
tm233485,US,2
tm193388,IN,4
ts36129,US,2
tm348393,NG,48
tm147518,BR,23
tm322200,ES,18
tm231314,ES,18
tm208628,IN,4
ts56201,CA,20
tm426428,US,2
tm307774,IN,4
tm233533,US,2
tm449105,US,2
tm449105,DE,17
tm279585,US,2
tm209037,CL,39
ts42687,GB,3
tm195870,US,2
tm244197,PR,87
tm244197,US,2
tm244197,GB,3
tm244197,CN,54
tm1883,CN,54
tm1883,US,2
tm1883,ES,18
tm197806,US,2
tm233521,US,2
tm149212,FR,5
tm149212,PT,75
tm149212,SE,42
tm149212,DK,40
tm149212,BR,23
ts35463,US,2
tm244559,SE,42
tm244559,US,2
tm136036,PH,50
tm250364,XX,69
tm571645,US,2
ts75104,PL,62
tm199607,AU,19
tm199607,US,2
ts36577,GB,3
tm571805,US,2
tm571805,GB,3
tm238661,US,2
tm238661,CA,20
tm238661,GB,3
ts41975,US,2
tm137557,GB,3
ts36885,US,2
tm144021,US,2
tm175843,US,2
ts36177,AU,19
ts37464,NO,24
ts37779,GB,3
tm227922,US,2
tm219739,PH,50
tm157609,ES,18
tm315344,CA,20
tm315344,US,2
tm315344,CN,54
tm146657,IL,65
tm146657,NO,24
tm146657,ZA,37
tm146657,AE,53
tm146657,GB,3
tm146657,IS,43
tm146657,IE,25
tm136321,US,2
tm138614,US,2
ts83535,FR,5
ts83535,RU,64
ts83535,US,2
tm242646,ES,18
tm242646,FR,5
tm245724,FR,5
tm157783,IN,4
tm280828,US,2
tm359978,KR,38
tm232950,SK,88
tm232950,CZ,36
ts20781,KR,38
ts38199,US,2
tm199408,GB,3
tm884511,US,2
tm200454,IN,4
tm233214,GB,3
tm233214,IR,6
tm233214,JO,56
tm233214,QA,52
tm313683,ES,18
ts37866,FR,5
tm159701,US,2
ts35256,US,2
ts12444,TW,47
tm232965,US,2
tm374656,US,2
ts42168,TR,28
tm837756,MX,27
tm837756,US,2
tm198842,TR,28
ts36856,US,2
tm138667,IN,4
tm446574,CA,20
tm446574,ZA,37
tm446574,US,2
tm447963,US,2
tm197503,IN,4
tm350,US,2
tm234773,GB,3
tm368729,IN,4
tm138584,IN,4
tm346939,US,2
ts35775,US,2
tm151716,US,2
ts35359,DE,17
ts35359,AU,19
ts35359,FR,5
ts41294,IL,65
tm211424,IN,4
tm469510,IN,4
tm352588,US,2
ts42371,CA,20
tm206698,US,2
ts37944,FR,5
tm247631,TR,28
tm198786,PH,50
ts42477,DE,17
tm311494,IT,11
ts32561,TW,47
tm170919,AR,12
tm170919,ES,18
tm193125,US,2
tm205935,GB,3
tm205935,US,2
tm217939,FR,5
tm363181,IN,4
tm220473,US,2
tm234735,IN,4
tm428453,TW,47
tm428453,US,2
tm428453,CN,54
tm428453,FR,5
tm233015,IN,4
tm143642,DE,17
ts36545,US,2
tm233843,IN,4
tm218052,IN,4
tm240162,IN,4
tm230426,US,2
tm828069,IE,25
tm828069,GB,3
tm270987,FR,5
tm270987,CA,20
tm201855,IN,4
tm144557,TR,28
tm206512,US,2
tm1073510,HU,66
tm1073510,NL,41
tm1073510,CH,59
tm1073510,GB,3
tm849102,IN,4
tm205333,PH,50
tm205437,US,2
tm211571,TR,28
ts37539,JP,9
tm220317,US,2
ts35362,ES,18
tm407961,NG,48
tm198496,US,2
ts35406,CA,20
ts36550,US,2
tm228242,US,2
tm311319,HK,13
tm311319,CN,54
ts144527,SG,74
tm239727,US,2
tm367264,CZ,36
tm367264,US,2
ts74809,US,2
tm244220,GB,3
tm244507,AR,12
tm244507,ES,18
ts53664,IL,65
ts36741,RU,64
ts75833,RU,64
ts18653,IN,4
tm244233,US,2
tm208903,CA,20
tm208903,US,2
tm232953,US,2
ts38796,US,2
ts54117,CA,20
tm1028298,US,2
ts36046,US,2
ts38809,US,2
tm367250,NL,41
ts74929,FR,5
ts52943,KR,38
ts76743,JP,9
tm207734,US,2
tm152273,JP,9
tm238587,US,2
tm238587,DE,17
tm238587,ZA,37
tm214589,PH,50
tm236999,ES,18
tm210043,US,2
ts37971,US,2
ts53051,US,2
tm246543,GL,89
tm246543,FR,5
tm225275,US,2
ts82979,US,2
tm205890,US,2
tm205890,FR,5
tm205890,LU,61
tm205890,GB,3
ts88485,US,2
tm271070,CA,20
tm271070,CN,54
tm271070,FR,5
ts37490,US,2
tm562821,AE,53
tm209987,US,2
tm209950,US,2
tm244332,US,2
tm219233,GB,3
tm219233,US,2
tm232832,NO,24
tm232832,SE,42
tm247396,US,2
tm321295,US,2
ts36952,US,2
tm239769,US,2
ts36547,MX,27
ts77654,US,2
ts35793,US,2
tm238722,US,2
tm241314,US,2
tm211461,MA,29
tm211461,FR,5
ts38415,CA,20
tm413660,US,2
tm413660,CA,20
tm232579,NZ,31
tm345225,IN,4
ts38731,GB,3
ts38731,IE,25
tm211273,US,2
tm321596,US,2
ts38805,AU,19
tm324820,JP,9
tm324820,FR,5
tm233345,US,2
tm351938,FR,5
tm351938,BE,14
tm375883,ES,18
tm309903,GB,3
tm309903,DE,17
tm309903,DK,40
tm309903,NL,41
tm244513,QA,52
tm244513,FR,5
tm1064228,US,2
tm1064228,CA,20
tm275004,CA,20
tm558730,US,2
ts3844,US,2
tm233294,US,2
tm233482,IN,4
tm233482,CN,54
tm233482,US,2
tm233482,GB,3
ts37896,GB,3
tm238377,US,2
ts33349,KR,38
tm358666,CH,59
tm358666,DE,17
tm213681,KR,38
tm239707,US,2
tm244635,CL,39
tm244635,FR,5
tm927037,US,2
ts78299,US,2
ts42069,US,2
ts42069,GB,3
tm233157,CN,54
tm234466,BR,23
ts38770,US,2
ts43272,JP,9
tm283938,RO,76
tm270504,GB,3
tm271960,US,2
ts37143,US,2
tm436778,US,2
tm137530,CA,20
tm137530,GB,3
tm137530,US,2
tm233366,IN,4
ts79799,US,2
tm321785,IN,4
ts25252,JP,9
ts39015,US,2
tm215054,US,2
tm317110,KR,38
tm225416,US,2
tm233570,PH,50
tm311789,US,2
tm932595,US,2
tm225308,CA,20
tm225308,DE,17
tm225308,GB,3
tm221953,IN,4
tm239743,US,2
tm308090,US,2
ts43258,IN,4
tm239774,US,2
tm267401,ES,18
ts57964,US,2
tm424074,US,2
ts36740,US,2
tm244915,IN,4
ts38710,US,2
ts38710,CA,20
tm417496,US,2
ts90937,AU,19
tm285356,KH,90
tm285356,US,2
tm203056,TR,28
tm225693,US,2
tm233344,IN,4
tm244638,US,2
tm270999,US,2
tm307767,IN,4
tm220594,UA,84
tm220594,GB,3
tm220594,US,2
tm244196,IN,4
ts52838,BR,23
tm263427,ES,18
tm263427,DE,17
tm344989,US,2
tm219817,IN,4
tm243121,US,2
ts53099,FI,67
tm246175,SE,42
tm233484,CN,54
tm245155,AE,53
tm285649,TR,28
tm285649,US,2
tm224377,PH,50
tm231911,PH,50
tm275800,AR,12
tm275800,ES,18
ts58152,ES,18
tm242705,BE,14
tm242705,FR,5
ts56481,US,2
ts41766,US,2
tm244229,IT,11
tm244229,ES,18
tm244229,FR,5
tm242687,NL,41
tm233023,US,2
ts42119,US,2
tm439365,IN,4
tm224255,LB,10
tm224255,QA,52
ts38568,US,2
ts38783,AU,19
tm233493,US,2
tm245293,IN,4
tm234703,MX,27
tm274053,US,2
